"id","name","category","language"
"1","paprika","zöldség","hu"
"2","paradicsom","zöldség","hu"
"3","vöröshagyma","zöldség","hu"
"4","olaj","alapvető","hu"
"5","pirospaprika","fűszer","hu"
"6","só","alapvető","hu"
"7","bors","alapvető","hu"
"8","sertéshús","hús","hu"
"9","tojás","tejtermék","hu"
"11","zsemlemorzsa","alapanyagok","hu"
"12","piskótalap","édesség","hu"
"13","tejszín","tejtermék","hu"
"14","cukor","alapvető","hu"
"15","vaníliás cukor","édesítőszer","hu"
"16","kakaópor","fűszer","hu"
"17","rum","ital","hu"
"18","darált dió","magvak","hu"
"19","mazsola","gyümölcs","hu"
"20","csokoládéöntet","édesség","hu"
"21","marhahús","hús","hu"
"22","burgonya","zöldség","hu"
"23","víz","alapvető","hu"
"24","tészta","alapanyagok","hu"
"25","túró","tejtermék","hu"
"26","füstölt szalonna","hús","hu"
"27","tejföl","tejtermék","hu"
"28","káposzta","zöldség","hu"
"29","főtt rizs","alapanyagok","hu"
"30","darált hús","hús","hu"
"31","zsemle","alapanyagok","hu"
"32","mák","magvak","hu"
"33","élesztő","alapanyagok","hu"
"34","paradicsomszósz","alapanyagok","hu"
"35","fokhagyma","fűszer","hu"
"36","bazsalikom","fűszer","hu"
"37","oregano","fűszer","hu"
"38","piskótalap","édesség","hu"
"39","tejszín","tejtermék","hu"
"40","tojás","tejtermék","hu"
"42","liszt","alapvető","hu"
"43","vaníliás pudingpor","porok","hu"
"44","tej","tejtermék","hu"
"45","puha vaj","tejtermék","hu"
"48","csokoládé","édesség","hu"
"49","apróra vágott dió","magvak","hu"
"50","csokoládéreszelék","édesség","hu"
"68","almapaprika","zöldség","hu"
"69","mozarella","sajtok","hu"
"74","főzőtejszín","tejtermék","hu"
"75","étcsokoládé","csokoládé","hu"
"76","hideg habtejszín","tejtermék","hu"
"77","kristálycukor","alapvető","hu"
"78","vanília","fűszer","hu"
"79","mascarpone","tejtermék","hu"
"80","kávé","ital","hu"
"81","babapiskóta","pékáru","hu"
"82","holland kakaópor","fűszer","hu"
"87","potato","vegetable","en"
"88","sugar","basic","en"
"89","salt","basic","en"
"90","soy sauce","condiment","en"
"91","brown sugar","sweetener","en"
"92","garlic","vegetable","en"
"93","ginger","vegetable","en"
"94","salmon","protein","en"
"95","carrots","vegetable","en"
"96","radishes","vegetable","en"
"97","red cabbage","vegetable","en"
"98","rice","grain","en"
"99","sesame seeds","seeds","en"
"100","green onion","vegetable","en"
"101","olive oil","oil","en"
"102","butter","dairy","en"
"103","lemon juice","fruit","en"
"104","honey","sweetener","en"
"105","black pepper","basic","en"
"107","chicken breast","protein","en"
"108","beef","protein","en"
"109","pork","protein","en"
"110","tofu","protein","en"
"111","onion","vegetable","en"
"112","tomato","vegetable","en"
"113","bell pepper","vegetable","en"
"114","potato","vegetable","en"
"115","mushrooms","vegetable","en"
"116","basil","herb","en"
"117","parsley","herb","en"
"118","cinnamon","spice","en"
"119","nutmeg","spice","en"
"120","milk","dairy","en"
"121","cheddar cheese","dairy","en"
"122","parmesan","dairy","en"
"123","yogurt","dairy","en"
"124","flour","basic","en"
"125","oats","grain","en"
"126","quinoa","grain","en"
"127","chickpeas","legume","en"
"128","lentils","legume","en"
"129","walnuts","nuts","en"
"130","almonds","nuts","en"
"131","peanuts","nuts","en"
"132","coconut milk","dairy alternative","en"
"133","soy milk","dairy alternative","en"
"143","water","basic","en"
"144","ground beef","protein","en"
"145","ketchup","condiment","en"
"146","mustard","condiment","en"
"147","hamburger buns","bread","en"
"148","Worcestershire sauce","condiment","en"
"150","elbow macaroni","pasta","en"
"151","baking powder","baking","en"
"152","baking soda","baking","en"
"154","vanilla extract","flavoring","en"
"156","chocolate chips","sweets","en"
"157","hot sauce","condiment","en"
"158","vinegar","condiment","en"
"159","garlic powder","spice","en"
"160","ranch dressing","sauce","en"
"161","blue cheese dip","sauce","en"
"162","chicken wings","protein","en"
"163","alma","gyümölcs","hu"
"206","borsó","zöldség","hu"
"207","sütőtök","zöldség","hu"
"208","banán","gyümölcs","hu"
"209","körte","gyümölcs","hu"
"210","narancs","gyümölcs","hu"
"211","szölő","gyümölcs","hu"
"212","citrom","gyümölcs","hu"
"213","ananász","gyümölcs","hu"
