"id","ingredient_id","recipe_id","quantity"
"162","1","1","5 db"
"163","2","1","3 db"
"164","3","1","2 db"
"166","8","2","4 szelet"
"167","9","2","2 db"
"168","9","3","4 db"
"169","10","3","150 g"
"171","13","3","3 dl"
"173","17","3","3 evőkanál"
"174","43","3","1 csomag"
"175","44","3","500 ml"
"176","45","3","100 g"
"177","48","3","200 g"
"178","49","3","ízlés szerint"
"179","50","3","ízlés szerint"
"180","2","4","500 ml"
"181","3","4","1 db"
"182","6","4","ízlés szerint"
"183","7","4","ízlés szerint"
"184","28","4","1 fej"
"185","29","4","200 g"
"186","30","4","500 g"
"187","6","5","ízlés szerint"
"188","7","5","ízlés szerint"
"189","9","5","4 db"
"190","22","5","1 kg"
"191","26","5","200 g"
"192","27","5","500 g"
"193","6","6","ízlés szerint"
"194","23","6","500 ml"
"195","29","6","250 g"
"196","12","7","300 g"
"198","23","7","500 ml"
"199","32","7","100 g"
"200","3","8","1 db"
"201","4","8","2 evőkanál"
"202","6","8","ízlés szerint"
"203","7","8","ízlés szerint"
"204","24","8","300 g"
"205","28","8","500 g"
"206","14","9","ízlés szerint"
"207","19","9","300 g"
"208","23","9","1 l"
"210","3","10","1 db"
"211","6","10","ízlés szerint"
"212","7","10","ízlés szerint"
"213","23","10","1 l"
"214","6","11","ízlés szerint"
"215","7","11","ízlés szerint"
"216","23","11","1 l"
"217","27","11","100 g"
"219","1","12","300 g"
"220","4","12","a sütéshez"
"221","6","12","ízlés szerint"
"222","7","12","ízlés szerint"
"223","9","12","2 db"
"224","10","12","100 g"
"225","11","12","100 g"
"228","19","13","500 g"
"256","2","77","3 db"
"257","3","77","1 db"
"258","4","77","2 evőkanál"
"259","5","77","1 teáskanál"
"260","6","77","ízlés szerint"
"261","7","77","ízlés szerint"
"262","8","77","500 g"
"263","34","77","500 g"
"264","35","77","3 gerezd"
"265","36","77","1 evőkanál"
"266","37","77","1 teáskanál"
"267","16","78","1 kg"
"268","10","79","1"
"269","11","80","1"
"272","69","77","1 kg"
"276","4","1","3 ek"
"277","11","81","1 db"
"278","37","81","3 dkg"
"279","35","81","kell sok"
"280","74","181","180 g"
"281","75","181","160 g"
"282","76","181","600 g"
"283","77","181","120 g"
"284","78","181","1 rúd"
"285","79","181","350 g"
"286","80","181","200 ml"
"287","82","181","9 ek"
"288","81","181","40 db"
"289","12","182","1 db"
"290","20","182","2 l"
"292","10","182","1"
"297","11","208","3232"
"298","87","182","3"
"299","87","183","3 db"
"300","87","184","3 pieces"
"305","87","186","4"
"306","89","187","3"
"308","90","188","1/4 cup"
"309","91","188","3 tablespoons"
"310","92","188","1 small clove"
"311","93","188","1 tablespoon chopped"
"312","94","188","1 (6 ounce)"
"313","95","188","1/4 cup grated"
"314","96","188","2 (thinly sliced)"
"315","97","188","1 cup shredded"
"316","98","188","1 cup (cooked)"
"317","99","188","(optional) 1 teaspoon"
"318","100","188","(optional) 1 thinly sliced"
"319","89","189","3 db"
"320","88","189","4 db"
"321","11","190","3 db"
"322","10","191","3"
"323","12","191","4"
"324","144","192","500 g"
"325","111","192","1 chopped"
"326","145","192","1/2 cup"
"327","146","192","1 tsp"
"328","89","192","1/2 tsp"
"329","105","192","1/4 tsp"
"330","147","192","4"
"331","157","193","1/2 cup"
"332","102","193","2 tbsp"
"333","158","193","1 tbsp"
"334","159","193","1/2 tsp"
"335","89","193","1/2 tsp"
"336","162","193","500 g"
"337","160","193","optional"
"338","161","193","optional"
"340","151","194","3piece"
"341","92","195","3 pieces"
"342","171","195","2 db"
"343","206","10","300 g"
"344","207","11","500 g"
"346","208","13","ízlés szerint"
"347","163","13","ízlés szerint"
"348","210","13","ízlés szerint"
"349","211","13","ízlés szerint"
"350","209","13","ízlés szerint"
"351","88","184","5 g"
"352","89","184","5 g"
"412","6","2","ízlés szerint"
"413","7","2","ízlés szerint"
"415","163","243","3 db"
"416","42","243","2 kg"
"418","11","244","3"
"419","163","245","4 db"
"420","82","245","3 kg"
"421","77","3","150 g"
"422","77","7","ízlés szerint"
"423","77","13","ízlés szerint"
"428","163","246","3 db"
"430","11","247","3"
"431","11","249","dddd"
"432","163","247","4 db"
"433","92","250","4"
"435","42","2","500 g"
"437","144","251","500 g"
"438","218","251","400 g (drained and rinsed)"
"439","222","251","400 g"
"440","111","251","1 small chopped"
"441","92","251","2 cloves minced"
"442","219","251","1 chopped"
"443","101","251","1 tbsp"
"444","221","251","1 tbsp"
"445","223","251","1 cup"
"446","224","251","1 tsp"
"447","225","251","1 tsp"
"448","226","251","1 tsp"
"449","227","251","1/2 tsp"
"450","89","251","1/2 tsp"
"451","105","251","1/4 tsp"
"452","220","251","1 small finely chopped"
